Usuario,City,User items,Item title,Item description,Item views,Size,Brand,Status,Price,Color,Likes
lauramateeu,Marratxi,35,Falda vaquera ,"No la he usado más de tres veces. 
",0,M / 38 / 10,tienda local,Muy bueno,"5,00 €",9,0
saramedinamartinez,Barcelona,7,Chaleco calado Bershka ,Chaleco blanco calado corto. Usado una vez. ,0,M / 38 / 10,Bershka,Muy bueno,"5,00 €",12,0
jgg20,Ayamonte,3,Mono corto,usado dos veces.Talla unica,3,Talla única,Sin Marca,Muy bueno,"5,00 €",22,0
carmenfuerteslopez,Medina del Campo,10,Vaquero ,Sienta muy bien ,0,S / 36 / 8,H&M,Bueno,"3,00 €",1,1
marinaagarciaa1,,2,Blusa rosa pastel de niña Mayoral,"Usada una vez, está en perfecto estado y la tela es de buena calidad.
Talla 14.
Precio negociable.
Para más información háblame!!",0,XS / 34 / 6,Mayoral,Muy bueno,"6,99 €",24,1
elenita42,,3,"Top negro de tirantes corto con estampado de llamas, de Bershka","Top negro con estampado de llamas. El top es una XS. Es de bershka. Es bastabre corto, lkema un poco abajo de los pechos.
Perdonen la foto tan cutre, si quieren mas detalles de la prenda escribanme.",3,XS / 34 / 6,Bershka,Nuevo sin etiquetas,"2,00 €",1,0
bdelvalle,,41,Vestido Tintoretto 38 colores,Vestido Tintoretto talla 38,4,M / 38 / 10,Tintoretto,Bueno,"8,00 €",5,0
martaroda07,,3,Pantalon arreglado ,pantalon nuevo sin usar,1,S / 36 / 8,Shein,Nuevo sin etiquetas,"5,00 €",9,1
sorymb,Extremadura,2,Camisa de encaje de Stradivarius ,camisa encaje y flecos negra talla M de Stradivarius ,0,M / 38 / 10,Stradivarius,Muy bueno,"5,00 €",1,0
martaroda07,,3,Pantalon vaquero claro,usado pocas veces,0,S / 36 / 8,Shein,Bueno,"5,00 €",26,1
mariropita,,3,Blusa 100% Algodon,nueva,0,M / 38 / 10,Topshop,Nuevo con etiquetas,"7,00 €",4,0
ajejandra.amanda,,1,Plataformas Pull&Bear Talla 37,"Están muy poco usadas, como mucho tres o cuatro veces. Las vendo por falta de uso.",0,37,Pull & Bear,Muy bueno,"10,00 €",1,0
mer131,Badajoz,4,Mochila con dibujos,Es una mochila con dibujo de la bandera de Inglaterra. Tamaño mediano.,0,,,Muy bueno,"4,00 €",4,0
nutriv,Vigo,2,Pantalón vaquero culotte Mango,"Pantalón vaquero tipo culotte de Mango talla 36 (tallan grande). Poco uso, en buen estado",2,M,Mango,Muy bueno,"6,00 €",9,0
elenita42,,3,"Sudadera vintage negra, de Fila","Ha sido usada muy pocas veces, es talla L. La sudadera es crop top pero no es cirta del todo, es decir, llega por el ombligo.
La sudadera es de una tabda de chandales que sacó Fila representando un disrño mas fino del logo de fila.
Perdonen la foto tan cutre, si quieren mas detalles de la prenda (como fotos, o verla puesta) envienme un mensaje.",0,L,FILA,Muy bueno,"10,00 €",1,0
lauracres,,74,Parches / Stitches peluche Animal Crossing ,"Está completamente nuevo, es muy suave",0,Talla única,Desconocida,Nuevo con etiquetas,"8,00 €",,0
mariamalcon,,2,Camisa Vaquera ,Camisa Vaquera color claro,1,S / 36 / 8,Pull & Bear,Muy bueno,"3,00 €",9,0
espegarcia87,Castilla-La Mancha,31,Top corto,Sin usar,1,M / 38 / 10,Atmosphere,Nuevo sin etiquetas,"1,00 €",23,0
alil0li,Valladolid,3,Camiseta oversize con capucha y mangas de redecilla,"Camiseta negra oversize con el eslogan ""legend"" por delante. A pesar de ser una talla s es bastante grande. #polinesia #redecilla #rejilla #oversize
Tengo gatos, así que es complicado que al enviarla no tenga ningún pelo",0,S / 36 / 8,Sin Marca,Bueno,"5,00 €",1,0
anaa523,,3,Braga bikini,blanco con palmeras,15,S / 36 / 8,Shein,Bueno,"2,00 €",10,0
olayav,Alboraya,72,Zapatillas Adidas gazelle gris,zapatillas Gazelle en gris clarito con detalles en color coral. Talla 39 1/3. ,1,39.5 ,Adidas,Bueno,"17,00 €",3,0
mer131,Badajoz,4,Vestido blanco,"Es un vestido blanco de verano , nunca usado. Es de talla única. ",0,Talla única,Sin Marca,Nuevo sin etiquetas,"4,00 €",12,0
areamoda,,2,Zapatos Salón Zara,"SIN ESTRENAR.talla 39 Zapatos Salón, número 39 tacón cuadrado.",1,39,Zara,Nuevo con etiquetas,"12,00 €",3,0
lourdeshernan080166,Hellin,17,Bolso ,Apenas usado. Mediano. Marrón.,1,,Sin Marca,Muy bueno,"4,00 €",2,1
anass40,Mejorada del Campo,23,Falda mini Bershka ,"Falda mini polipiel Bershka cremallera lateral con frunces, color rojo, talla XS, nunca se estrenó, sin etiqueta ",0,XS / 34 / 6,Bershka,Nuevo sin etiquetas,"5,00 €",7,0
